Delegacia;Nome Antigo;CNPJ;Código;Categoria
DELEGACIA DE POLÍCIA CIVIL DE BARREIRA;DELEGACIA MUNICIPAL DE BARREIRA;01.869.564/0001-28;24876630;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE BATURITÉ;DELEGACIA REGIONAL DE BATURITÉ;01.869.564/0001-28;20847899;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE BELA CRUZ;DELEGACIA MUNICIPAL DE BELA CRUZ;01.869.564/0001-28;24527168;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE BOA VIAGEM;DELEGACIA MUNICIPAL DE BOA VIAGEM;01.869.564/0001-28;21938972;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE CAMOCIM;DELEGACIA REGIONAL DE CAMOCIM;01.869.564/0001-28;24528785;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE CANINDÉ;DELEGACIA REGIONAL DE CANINDÉ;01.869.564/0001-28;22007490;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE CHAVAL;DELEGACIA MUNICIPAL DE CHAVAL;01.869.564/0001-28;22009109;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE COREAÚ;DELEGACIA MUNICIPAL DE COREAÚ;01.869.564/0001-28;24526969;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE CRATEÚS;DELEGACIA REGIONAL DE CRATEÚS;01.869.564/0001-28;21938985;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE CRUZ;DELEGACIA MUNICIPAL DE CRUZ;01.869.564/0001-28;24528770;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE FOR?UILHA;DELEGACIA MUNICIPAL DE FOR?UILHA;01.869.564/0001-28;30904717;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE GRANJA;DELEGACIA MUNICIPAL DE GRANJA;01.869.564/0001-28;22009157;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE GUARACIABA DO NORTE;DELEGACIA MUNICIPAL DE GUARACIABA DO NORTE;01.869.564/0001-28;22007588;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE GUARAMIRANGA;DELEGACIA MUNICIPAL DE GUARAMIRANGA;01.869.564/0001-28;24528724;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE INDEPENDÊNCIA;DELEGACIA MUNICIPAL DE INDEPENDÊNCIA;01.869.564/0001-28;21938244;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE IPU;DELEGACIA MUNICIPAL DE IPÚ;01.869.564/0001-28;22007891;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE IPUEIRAS;DELEGACIA MUNICIPAL DE IPUEIRAS;01.869.564/0001-28;22007946;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE ITAPAJÉ;DELEGACIA MUNICIPAL DE ITAPAJÉ;01.869.564/0001-28;24527474;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE ITAPIPOCA;DELEGACIA REGIONAL DE ITAPIPOCA;01.869.564/0001-28;24527226;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE ITAREMA;DELEGACIA MUNICIPAL DE ITAREMA;01.869.564/0001-28;24527622;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE JIJOCA DE JERICOACOARA;DELEGACIA MUNICIPAL DE JIJOCA DE JERICOACOARA;01.869.564/0001-28;24528815;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE MARCO;DELEGACIA MUNICIPAL DE MARCO;01.869.564/0001-28;25140236;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE MASSAPÊ;DELEGACIA MUNICIPAL DE MASSAPÊ;01.869.564/0001-28;21939609;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE MONSENHOR TABOSA;DELEGACIA MUNICIPAL DE MONSENHOR TABOSA;01.869.564/0001-28;21939546;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE NOVA RUSSAS;DELEGACIA MUNICIPAL DE NOVO ORIENTE;01.869.564/0001-28;21938054;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE NOVO ORIENTE;DELEGACIA MUNICIPAL DE NOVA RUSSAS;01.869.564/0001-28;22007868;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE OCARA;DELEGACIA MUNICIPAL DE OCARA;01.869.564/0001-28;24529020;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE PACUJÁ;DELEGACIA MUNICIPAL DE PACUJÁ;01.869.564/0001-28;24528893;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE PENTECOSTE;DELEGACIA MUNICIPAL DE PENTECOSTE;01.869.564/0001-28;24527982;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE REDENÇÃO;DELEGACIA MUNICIPAL DE REDENÇÃO;01.869.564/0001-28;24528669;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE SANTA ?UITÉRIA;DELEGACIA MUNICIPAL DE SANTA ?UITÉRIA;01.869.564/0001-28;21939477;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE SANTANA DO ACARAÚ;DELEGACIA MUNICIPAL DE SANTANA DO ACARAÚ;01.869.564/0001-28;24526816;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE SÃO BENEDITO;DELEGACIA MUNICIPAL DE SÃO BENEDITO;01.869.564/0001-28;22007629;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE TAMBORIL;DELEGACIA MUNICIPAL DE TAMBORIL;01.869.564/0001-28;21939055;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE TIANGUÁ;DELEGACIA REGIONAL DE TIANGUÁ;01.869.564/0001-28;22007971;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE UBAJARA;DELEGACIA MUNICIPAL DE UBAJARA;01.869.564/0001-28;22007995;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE URUBURETAMA;DELEGACIA MUNICIPAL DE URUBURETAMA;01.869.564/0001-28;24527503;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE URUOCA;DELEGACIA MUNICIPAL DE URUOCA;01.869.564/0001-28;25155552;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE VARJOTA;DELEGACIA MUNICIPAL DE VARJOTA;01.869.564/0001-28;21939506;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE VIÇOSA DO CEARÁ;DELEGACIA MUNICIPAL DE VIÇOSA DO CEARÁ;01.869.564/0001-28;22009078;Delegacia
1ª DELEGACIA DE POLÍCIA CIVIL DE JUAZEIRO DO NORTE;DELEGACIA REGIONAL DE JUAZEIRO DO NORTE;01.869.564/0001-28;20574795;Delegacia
2ª DELEGACIA DE POLÍCIA CIVIL DE JUAZEIRO DO NORTE;;01.869.564/0001-28;;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE ACOPIARA;DELEGACIA MUNICIPAL DE ACOPIARA;01.869.564/0001-28;21938377;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE ALTO SANTO;DELEGACIA MUNICIPAL DE ALTO SANTO;01.869.564/0001-28;21134437;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE ARACATI;DELEGACIA REGIONAL DE ARACATI;01.869.564/0001-28;20879736;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE ARARIPE;DELEGACIA MUNICIPAL DE ARARIPE;01.869.564/0001-28;21939960;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE ASSARÉ;DELEGACIA MUNICIPAL DE ASSARÉ;01.869.564/0001-28;22075138;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE AURORA;DELEGACIA MUNICIPAL DE AURORA;01.869.564/0001-28;21937772;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE BANABUIÚ;DELEGACIA MUNICIPAL DE BANABUIÚ;01.869.564/0001-28;26517546;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE BARBALHA;DELEGACIA MUNICIPAL DE BARBALHA;01.869.564/0001-28;20574719;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE BARRO;;01.869.564/0001-28;;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE BEBERIBE;DELEGACIA MUNICIPAL DE BEBERIBE;01.869.564/0001-28;20879653;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE BREJO SANTO;DELEGACIA REGIONAL DE BREJO SANTO;01.869.564/0001-28;21794961;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE CAMPOS SALES;DELEGACIA MUNICIPAL DE CAMPOS SALES;01.869.564/0001-28;21937810;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE CARIRIAÇU;DELEGACIA MUNICIPAL DE CARIRIAÇU;01.869.564/0001-28;21937561;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE CEDRO;DELEGACIA MUNICIPAL DE CEDRO;01.869.564/0001-28;21150486;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE CRATO;DELEGACIA REGIONAL DE CRATO;01.869.564/0001-28;20574812;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE FARIAS BRITO;DELEGACIA MUNICIPAL DE FARIAS BRITO;01.869.564/0001-28;21150583;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE ICAPUÍ;DELEGACIA MUNICIPAL DE ICAPUÍ;01.869.564/0001-28;20879754;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE ICÓ;DELEGACIA REGIONAL DE ICÓ;01.869.564/0001-28;21805367;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE IGUATU;DELEGACIA REGIONAL DE IGUATU;01.869.564/0001-28;20342848;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE IPAUMIRIM;DELEGACIA MUNICIPAL DE IPAUMIRIM;01.869.564/0001-28;21150507;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE IRACEMA;DELEGACIA MUNICIPAL DE IRACEMA;01.869.564/0001-28;21138627;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE JAGUARETAMA;DELEGACIA MUNICIPAL DE JAGUARETAMA;01.869.564/0001-28;20879790;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE JAGUARIBE;DELEGACIA REGIONAL DE JAGUARIBE;01.869.564/0001-28;21139513;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE JAGUARUANA;DELEGACIA MUNICIPAL DE JAGUARUANA;01.869.564/0001-28;21128229;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE JARDIM;DELEGACIA MUNICIPAL DE JARDIM;01.869.564/0001-28;21937364;Delegacia
DELEGACIA DE POLÍCIA CIVIL DE JUCÁS;DELEGACIA MUNICIPAL DE JUCÁS;01.869.564/0001-28;21939003;Delegacia
